x,y
0.214231095,0.832178136
0.724027335,0.640925934
0.313729346,0.067216589
0.998534395,0.608940034
0.107505021,0.886018474
0.369994322,0.062003156
0.262013753,0.508357982
0.670585715,0.452617865
0.266197258,0.838343591
0.010599862,0.396047393
0.251400905,0.046841655
0.366229416,0.072512803
0.35461707,0.621301737
0.091832273,0.588167825
0.726201294,0.943236868
0.882749015,0.161530235
0.989833796,0.952476816
0.696246299,0.000572901
0.887306461,0.165477075
0.622284988,0.884916342
0.160624462,0.28792915
0.290655873,0.165275916
0.40070599,0.482775746
0.019418285,0.178356495
0.091796531,0.227744366
0.33538078,0.279102655
0.04229156,0.043050945
0.573412213,0.761589913
0.556995411,0.805764493
0.115574347,0.995547978
0.303845328,0.799080954
0.375100189,0.689793293
0.632028567,0.100145891
0.18140026,0.903785671
0.671227289,0.763971467
0.283161924,0.191534635
0.395981869,0.915956694
0.720481663,0.57438172
0.400967412,0.147883739
0.545669272,0.741602654
0.082399829,0.440919414
0.987614771,0.359133262
0.960134172,0.264252603
0.883898154,0.11213523
0.278689089,0.033040178
0.402596121,0.916445447
0.389848528,0.491540976
0.848315096,0.391102683
0.909414408,0.803615164
0.626154726,0.114160402
0.466048336,0.876220091
0.864425102,0.393413178
0.376746306,0.500039035
0.793850121,0.360708536
0.225026405,0.564986064
0.229605229,0.921289395
0.299651822,0.89484237
0.790705943,0.009316863
0.146184688,0.594126793
0.291612686,0.611582641
0.549291103,0.073232465
0.562540348,0.763593622
0.752487016,0.625726372
0.845855855,0.418385611
0.672121672,0.527175602
0.905164851,0.655476918
0.877259478,0.071201992
0.1156417,0.534706608
0.524459508,0.013658291
0.310981557,0.965920926
0.409233554,0.984921372
0.434448259,0.282287092
0.757710046,0.507636969
0.074793716,0.454682553
0.848852068,0.865355671
0.871154365,0.795253497
0.843243142,0.013901323
0.569401332,0.006006971
0.075563284,0.682110283
0.949320793,0.525776003
0.616202276,0.530442983
0.937913126,0.246383849
0.612772323,0.611042181
0.352284804,0.955630336
0.556406284,0.871311167
0.324546867,0.410371118
0.439701767,0.101475923
0.988792495,0.056045074
0.123537556,0.381613811
0.318180376,0.820471947
0.288592721,0.873313803
0.368253153,0.135640986
0.648233557,0.473227786
0.777363893,0.580189293
0.10068758,0.426007561
0.465022332,0.463505133
0.945481401,0.135209595
0.270337863,0.311698293
0.008914485,0.385022837
0.746557541,0.312555704
0.795030937,0.084710605
0.062112953,0.009824878
0.511860253,0.450511498
0.577409682,0.562751834
0.988815988,0.763356429
0.548716191,0.371847903
0.548050622,0.513452159
0.615063481,0.010271527
0.15724592,0.106535827
0.126061289,0.62084855
0.234085291,0.915608158
0.707263392,0.104348037
0.443023805,0.18930614
0.955004161,0.938859158
0.772386887,0.123563454
0.827702838,0.753336292
0.883687892,0.888717805
0.468906248,0.290795164
0.218479146,0.976823197
0.962360015,0.477136405
0.122568533,0.02479098
0.5245239,0.316061865
0.00816053,0.771856801
0.843755763,0.858476975
0.084534504,0.853973909
0.227406716,0.164166108
0.344615467,0.674999764
0.105687003,0.679043066
0.591900775,0.622790315
0.917751126,0.942049052
0.511579642,0.938061464
0.670862344,0.683790498
0.150918535,0.140815752
0.556007936,0.895338285
0.306216446,0.064778578
0.881577472,0.287890787
0.12741832,0.964074737
0.050479709,0.313957503
0.459093513,0.284486277
0.175971606,0.816237848
0.675203322,0.739918172
0.260434504,0.201645661
0.803433489,0.193307318
0.028761912,0.824103512
0.53595288,0.858070996
0.047443079,0.209280749
0.648766109,0.573943703
0.262542066,0.463674702
0.362687545,0.942335796
0.414727768,0.856541793
0.972032863,0.5916243
0.122484878,0.34942389
0.348670015,0.051094394
0.31161529,0.794817595
0.616177789,0.391502383
0.954017822,0.726118067
0.988766972,0.612336727
0.141573693,0.237617047
0.449131867,0.798758003
0.307102833,0.812472769
0.484991486,0.504172626
0.928038216,0.743984181
0.156319935,0.297366075
0.089479942,0.371745324
0.615853537,0.334364548
0.784861517,0.149362889
0.134462617,0.739942058
0.470717302,0.861362039
0.245988625,0.858644784
0.998467324,0.584350507
0.970247036,0.690068161
0.906830479,0.967159038
0.945712772,0.146416032
0.072660152,0.349865182
0.440678494,0.479806992
0.98001738,0.463492257
0.471336882,0.392671291
0.533142938,0.574991796
0.839408308,0.650271091
0.120615664,0.129572641
0.071039876,0.636453543
0.592481293,0.243006833
0.11873815,0.319296168
0.168402401,0.261112953
0.633346748,0.347136695
0.388457352,0.226371914
0.144653576,0.632638406
0.031038167,0.908532826
0.836328514,0.269539363
0.525850544,0.208347756
0.392114705,0.02395307
0.101125807,0.630195779
0.637833304,0.913834043
0.008739046,0.667783179
0.567623287,0.001635004
0.540358392,0.996866172
0.669114969,0.290733546
0.615212928,0.448059964
0.75269196,0.053213495
0.435539263,0.413710093
0.156869831,0.450244933
0.442240723,0.546786937
0.368620543,0.327585476
0.536265547,0.795865137
0.212746592,0.838650823
0.450876113,0.486548964
0.952969511,0.578270239
0.003305926,0.097848863
0.800897797,0.337262887
0.293691697,0.488006048
0.799550591,0.837233199
0.30154692,0.564948726
0.224126725,0.671974846
0.235416459,0.688173734
0.677770273,0.296090859
0.549945856,0.158044892
0.654257376,0.69600333
0.362287598,0.530939472
0.758401944,0.751010405
0.471835263,0.40252722
0.569697573,0.743510866
0.892078585,0.067264937
0.087942828,0.517725788
0.077852954,0.559187694
0.163439822,0.488875736
0.994688296,0.070094766
0.288649957,0.685924773
0.352154035,0.637196191
0.298170466,0.19150002
0.802731649,0.113193085
0.495975683,0.118675326
0.803381908,0.161597371
0.750627258,0.631417309
0.467740481,0.136507583
0.453909572,0.500396066
0.65771119,0.929081523
0.59083031,0.764746505
0.055883354,0.044556541
0.427562188,0.077339591
0.469319618,0.258446238
0.510990047,0.329155974
0.279273697,0.388778626
0.575681548,0.297704229
0.544008176,0.171219553
0.314558924,0.354989574
0.054561849,0.965086463
0.456856471,0.302096951
0.69815138,0.706027299
0.131673362,0.965568528
0.418921767,0.69843797
0.776605902,0.427020109
0.482507861,0.859969583
0.545193643,0.150679631
0.580967013,0.67070323
0.738912376,0.145783523
0.73109685,0.182150221
0.071956715,0.499590534
0.235015344,0.92432867
0.351328449,0.375315677
0.888195265,0.394821492
0.683537659,0.367151978
0.350336156,0.519679737
0.107004154,0.892050968
0.728982325,0.413976141
0.429375071,0.703042376
0.702423308,0.488762747
0.809965319,0.262224426
0.874142311,0.684557076
0.392189397,0.507220784
0.682458105,0.657321606
0.488918165,0.880326003
0.16909259,0.746775303
0.719010546,0.344526657
0.646364457,0.380588863
0.266860097,0.872967512
0.1271309,0.889161584
0.275306906,0.628388831
0.054463691,0.753903242
0.026757347,0.662207295
0.796809338,0.438913427
0.308657791,0.138909468
0.806299959,0.232018779
0.701705381,0.187423836
0.420000343,0.934069821
0.965926085,0.521362451
0.714984927,0.416860982
0.465154478,0.021548741
0.504519431,0.730770144
0.047900001,0.038467745
0.832610642,0.153396799
0.14019173,0.857329553
